names,coordinates,timestamp
brevard,"[28.2100203, -80.7997185]",2019-08-30T19:23:07-04:00
martin,"[27.0673711, -80.3994412]",2019-08-30T20:40:11-04:00
palm beach,"[26.6279798, -80.4494174]",2019-09-01T09:39:14-04:00
indian river,"[27.7041555, -80.5894422]",2019-09-01T11:25:21-04:00
st johns,"[29.9032284, -81.4145468]",2019-09-01T13:46:16-04:00
volusia,"[29.0533409, -81.1310761]",2019-09-01T14:22:48-04:00
st lucie,"[27.3900897, -80.457904]",2019-09-01T15:39:10-04:00
nassau,"[30.6624329, -81.7707334]",2019-09-01T16:56:02-04:00
duval,"[30.3540073, -81.6632109]",2019-09-01T17:13:21-04:00
flagler,"[29.4844412, -81.2917415]",2019-09-01T22:40:13-04:00
putnam,"[29.6266155, -81.7230549]",2019-09-02T13:04:28-04:00
clay,"[29.9766524, -81.8470596]",2019-09-02T15:24:13-04:00
